fecha	hora	demanda
2022-11-10	12	10157,014344118905
2022-11-10	13	10128,986676230004
2022-11-10	14	10161,27808698509
2022-11-10	15	10221,314316502814
2022-11-10	16	10208,651905303503
2022-11-10	17	10167,228196150703
2022-11-10	18	10068,93349419891
2022-11-10	19	9901,081539836401
2022-11-10	20	9936,35834429979
2022-11-10	21	10300,541151512602
2022-11-10	23	10051,50071010801
2022-11-10	24	9511,3577479293
2022-11-10	9	9612,575686433014
2022-11-10	22	10376,6209388058
2022-11-09	1	8998,0482847499
2022-11-09	2	8751,772248330404
2022-11-09	3	8578,123256528701
2022-11-09	4	8543,055404973302
2022-11-09	5	8436,075747985702
2022-11-09	6	8562,6446188953
2022-11-09	8	9165,2365990179
2022-11-09	9	9553,779124597893
2022-11-09	10	10018,955222812096
2022-11-09	11	10156,29755061251
2022-11-09	12	10292,438567827403
2022-11-09	13	10332,136695486484
2022-11-09	14	10287,881354290012
2022-11-09	15	10184,128238038402
2022-11-09	16	10096,5660733634
2022-11-09	17	9939,718991165508
2022-11-09	18	9848,460245664797
2022-11-09	19	9775,367713647693
2022-11-09	21	10192,610130530311
2022-11-09	22	10280,1286034122
2022-11-09	23	9934,856517174403
2022-11-09	24	9457,170016449207
2022-11-09	7	8863,214537380496
2022-11-09	20	9862,98288692411
2022-11-08	1	9150,819747648995
2022-11-08	2	8824,519958486806
2022-11-08	3	8622,6875809925
2022-11-08	4	8536,915329913201
2022-11-08	6	8628,914142375897
2022-11-08	7	8969,133498312902
2022-11-08	8	9182,909038883094
2022-11-08	9	9611,786903436901
2022-11-08	10	9993,3840090548
2022-11-08	11	10122,368501359297
2022-11-08	12	10212,491885069398
2022-11-08	13	10230,130336822614
2022-11-08	14	10183,115577037404
2022-11-08	15	10221,216539963098
2022-11-08	16	10143,165592439495
2022-11-08	17	10027,02810756449
2022-11-08	19	9593,489896365292
2022-11-08	20	9617,613286567508
2022-11-08	21	10040,5626983605
2022-11-08	22	10175,873497897393
2022-11-08	23	9852,511320155496
2022-11-08	24	9371,450185259098
2022-11-08	5	8485,927053293699
2022-11-08	18	9703,676958491604
2022-11-07	1	8629,857758055003
2022-11-07	2	8368,765789269803
2022-11-07	3	8109,143152089005
2022-11-07	4	8038,6745098693
2022-11-07	5	8037,013107894002
2022-11-07	6	8186,164745578005
2022-11-07	7	8579,074813593505
2022-11-07	8	8906,715981756814
2022-11-07	9	9259,9160014339
2022-11-07	10	9767,623434233501
2022-11-07	11	10025,171375465492
2022-11-07	12	10201,874358469495
2022-11-07	13	10255,867863793801
2022-11-07	14	10343,701346329002
2022-11-07	15	10436,027267773577
2022-11-07	16	10442,997182845613
2022-11-07	17	10356,438789978396
2022-11-07	18	10198,771211336612
2022-11-07	19	9962,1842516762
2022-11-07	20	10023,455140278602
2022-11-07	21	10404,64750752291
2022-11-07	22	10353,9611840673
2022-11-07	23	9878,694176375202
2022-11-07	24	9497,760778015598
2022-11-06	1	8803,436032627898
2022-11-06	2	8460,349312952001
2022-11-06	3	8160,553661805701
2022-11-06	4	7955,355518361797
2022-11-06	5	7903,033353512601
2022-11-06	6	7872,453672818701
2022-11-06	7	7768,445506589405
2022-11-06	8	7546,310390496499
2022-11-06	9	7682,3748886301055
2022-11-06	10	8072,914183730099
2022-11-06	11	8412,1532436398
2022-11-06	12	8627,139588464703
2022-11-06	13	8795,559372322505
2022-11-06	14	8956,242847777095
2022-11-06	15	8946,457204312
2022-11-06	16	8837,56781888371
2022-11-06	17	8775,9544746098
2022-11-06	18	8791,142283957804
2022-11-06	19	8836,785891116511
2022-11-06	20	9036,544832592097
2022-11-06	21	9550,500732275905
2022-11-06	22	9818,984512249699
2022-11-06	23	9508,385373793295
2022-11-06	24	9067,952537788802
2022-11-05	21	9518,643487801
2022-11-05	22	9712,749702755802
2022-11-05	23	9441,513342990103
2022-11-05	24	9158,812328321796
2022-11-05	1	9245,404765153198
2022-11-05	2	8919,812857504603
2022-11-05	3	8600,057270262096
2022-11-05	5	8376,227042000697
2022-11-05	19	9041,8425296903
2022-11-05	20	9214,650309838804
2022-11-05	4	8413,3832827393
2022-11-05	6	8368,2590595379
2022-11-05	7	8408,931777340995
2022-11-05	8	8340,017776484307
2022-11-05	9	8498,944568627003
2022-11-05	10	9058,790620146903
2022-11-05	11	9314,133246990494
2022-11-05	12	9442,574664623997
2022-11-05	14	9553,282914746622
2022-11-05	15	9467,722212030601
2022-11-05	16	9314,8917227161
2022-11-05	18	9051,592734900503
2022-11-05	13	9504,084193141198
2022-11-05	17	9173,748231285605
2022-11-04	1	9114,447091559307
2022-11-04	3	8571,072273080197
2022-11-04	4	8472,758528825703
2022-11-04	5	8461,017462609003
2022-11-04	6	8555,015933713203
2022-11-04	7	8835,803775222297
2022-11-04	8	9143,579720102689
2022-11-04	9	9615,474176345999
2022-11-04	10	10006,481235581601
2022-11-04	11	10120,810268801599
2022-11-04	12	10196,909611774397
2022-11-04	13	10300,300076070389
2022-11-04	14	10322,126526557702
2022-11-04	16	10296,207547778999
